,title,handle,created,product_type,price,sku,available,image
218,MAIA - LIMONCELLO - BOTTOM,maia-limoncello-bottom,2021-07-07T18:53:37+08:00,Bottoms,0.00,MAILIMBBOTXL,True,"{'id': 28077531267168, 'created_at': '2021-07-07T18:53:37+08:00', 'position': 2, 'updated_at': '2021-07-07T18:53:37+08:00', 'product_id': 6563231498336, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MAIA_LIMONCELLO_FRONT.jpg?v=1625655217', 'width': 1400, 'height': 1786}"
219,MACI - SYRUP,maci-syrup,2021-07-07T18:47:35+08:00,Swimwear,99.00,MACSYRTOPXL,False,"{'id': 28077524680800, 'created_at': '2021-07-07T18:47:36+08:00', 'position': 11, 'updated_at': '2021-07-07T18:47:36+08:00', 'product_id': 6563228909664, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/11.MACISyrup-EDIT.jpg?v=1625654856', 'width': 1400, 'height': 1786}"
220,MACI - SYRUP - BOTTOM,maci-syrup-bottom,2021-07-07T18:47:22+08:00,Bottoms,0.00,MACSYRBBOTXL,True,"{'id': 28077524320352, 'created_at': '2021-07-07T18:47:23+08:00', 'position': 2, 'updated_at': '2021-07-07T18:47:23+08:00', 'product_id': 6563228811360, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MACI_SYRUP_FRONT.jpg?v=1625654843', 'width': 1400, 'height': 1786}"
221,LENNY - SPRITZ,lenny-spritz,2021-07-07T18:39:46+08:00,Bottoms,79.00,LENSPRSARONG,False,"{'id': 28077522747488, 'created_at': '2021-07-07T18:39:47+08:00', 'position': 10, 'updated_at': '2021-07-13T07:09:30+08:00', 'product_id': 6563227926624, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/8.LENNYSpritz-EDIT.jpg?v=1626131370', 'width': 1400, 'height': 1786}"
222,MAIA - CERISE TERRY,maia-cerise-terry,2021-06-10T17:21:36+08:00,Swimwear,99.00,MAICERTOPXL,True,"{'id': 28052135051360, 'created_at': '2021-06-10T17:21:36+08:00', 'position': 11, 'updated_at': '2021-06-10T17:21:36+08:00', 'product_id': 6558880366688, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/11.MAIACerise-edit.jpg?v=1623316896', 'width': 1400, 'height': 1786}"
223,MAIA - CERISE TERRY - BOTTOM,maia-cerise-terry-bottom,2021-06-10T17:21:22+08:00,Bottoms,0.00,MAICERBBOTXL,True,"{'id': 28052134527072, 'created_at': '2021-06-10T17:21:22+08:00', 'position': 2, 'updated_at': '2021-06-10T17:21:22+08:00', 'product_id': 6558880333920, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MAIA_CERISETERRY_FRONT2.jpg?v=1623316882', 'width': 1400, 'height': 1786}"
224,MAIA - RAVEN TERRY,maia-raven-terry,2021-06-10T17:21:18+08:00,Swimwear,99.00,MAIRAVTOPXL,True,"{'id': 28052134166624, 'created_at': '2021-06-10T17:21:18+08:00', 'position': 11, 'updated_at': '2021-06-10T17:21:18+08:00', 'product_id': 6558880301152, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/11.MAIARavenTerry-edit.jpg?v=1623316878', 'width': 1400, 'height': 1786}"
225,MAIA - COCONUT TERRY,maia-coconut-terry,2021-06-10T16:56:59+08:00,Swimwear,99.00,MAICOCTOPXL,True,"{'id': 28052121059424, 'created_at': '2021-06-10T16:57:00+08:00', 'position': 11, 'updated_at': '2021-06-10T16:57:00+08:00', 'product_id': 6558876336224, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/11.MAIACoconutTerry-edit.jpg?v=1623315420', 'width': 1400, 'height': 1786}"
226,MAIA - COCONUT TERRY - BOTTOM,maia-coconut-terry-bottom,2021-06-10T16:56:43+08:00,Bottoms,0.00,MAICOCBBOTXL,True,"{'id': 28052120633440, 'created_at': '2021-06-10T16:56:43+08:00', 'position': 2, 'updated_at': '2021-06-10T16:56:43+08:00', 'product_id': 6558876303456, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/2.MAIA_COCONUTTERRY_FRONT.jpg?v=1623315403', 'width': 1400, 'height': 1786}"
227,MAIA - MYSA,maia-mysa,2021-05-24T19:32:22+08:00,Swimwear,99.00,MAIMYSTOPXL,True,"{'id': 28032256082016, 'created_at': '2021-05-24T19:32:22+08:00', 'position': 11, 'updated_at': '2021-05-24T19:32:22+08:00', 'product_id': 6555594948704, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0312/1385/products/11.MAIA_MYSA_HOVER.jpg?v=1621855942', 'width': 1400, 'height': 1786}"
